CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
144000;Man;IC;22;11;14;Bachelor's
180000;Man;IC;40;17;30;Less than bachelor's
140000;Man;IC;18;16;14;PhD
60000;Man;IC;13;13;4;Bachelor's
76000;Woman;IC;6;11;4;Bachelor's
60000;Man;IC;10;13;5;Master's
200000;Man;IC;13;19;11;Bachelor's
107000;Man;Manager;20;17;16;Less than bachelor's
102000;Woman;IC;29;13;24;Bachelor's
100000;Man;IC;15;16;8;Master's
400000;Man;IC;20;16;15;PhD
75000;Man;IC;7;18;3;Bachelor's
72500;Man;IC;Less than 1 year;30;Less than 1 year;Less than bachelor's
85000;Man;IC;6;8;4;Less than bachelor's
80000;Man;IC;7;15;Less than 1 year;Bachelor's
150000;Man;IC;27;15;21;Bachelor's
35000;Man;Manager;6;30;Less than 1 year;Bachelor's
95000;Man;IC;6;23;6;Bachelor's
117000;Man;IC;15;15;3;Bachelor's
52500;Man;IC;10;15;3;Less than bachelor's
144250;Man;IC;14;29;14;Less than bachelor's
97000;Man;IC;6;18;3;Bachelor's
100000;Man;IC;7;20;5;Master's
105000;Man;IC;16;18;11;Master's
100000;Man;IC;8;6;4;Bachelor's
130000;Man;IC;12;16;12;Less than bachelor's
210000;Man;IC;9;16;5;Bachelor's
84000;Man;IC;16;20;13;Master's
130000;Man;IC;7;16;2;Master's
65000;Man;IC;1;41;1;PhD
90640;Man;IC;10;21;6;Bachelor's
150000;Woman;IC;7;12;6;Less than bachelor's
147000;Woman;IC;9;10;5;Bachelor's
80000;Man;IC;9;20;6;Less than bachelor's
105000;Man;IC;12;12;2;Bachelor's
123000;Man;IC;7;23;4;Bachelor's
130000;Man;IC;NA;17;6;Master's
160000;Man;IC;6;NA;5;Master's
190000;Man;IC;5;16;4;Bachelor's
425000;Man;IC;12;14;8;Bachelor's
57000;Woman;IC;7;8;4;Less than bachelor's
276000;Man;IC;7;10;5;PhD
63000;Man;IC;13;18;4;Master's
70000;Man;IC;1;16;Less than 1 year;Bachelor's
67000;Woman;IC;6;15;4;Bachelor's
130000;Man;IC;12;16;8;Master's
112100;Man;IC;13;16;12;Master's
90000;Man;IC;12;16;6;Bachelor's
148000;Man;IC;42;15;38;Bachelor's
85000;Man;Manager;13;16;5;Bachelor's
300000;Man;Manager;10;21;8;Less than bachelor's
150000;Man;IC;8;16;Less than 1 year;Master's
85000;Man;IC;10;12;1;Bachelor's
100000;Man;IC;6;19;4;Bachelor's
106000;Man;IC;7;22;6;Less than bachelor's
65000;Man;IC;14;13;8;Master's
113000;Man;IC;16;18;9;Bachelor's
70000;Man;IC;12;18;7;Bachelor's
120000;Man;IC;28;9;21;Less than bachelor's
72000;Man;IC;10;14;5;Master's
180000;Man;IC;40;14;27;Bachelor's
75000;Man;IC;7;17;4;Bachelor's
145000;Man;IC;3;25;2;Bachelor's
90000;Man;Manager;9;21;5;Master's
180000;Man;IC;27;18;23;Master's
115000;Man;IC;8;10;3;Bachelor's
86000;Man;IC;18;17;10;Bachelor's
90000;Man;IC;40;19;40;Less than bachelor's
120000;Man;IC;28;11;23;Bachelor's
92000;Man;IC;21;8;6;Bachelor's
55000;Man;IC;2;20;2;Master's
125000;Man;IC;4;10;2;Bachelor's
76000;Man;IC;11;12;5;Bachelor's
135000;Man;IC;15;12;11;Bachelor's
175000;Man;IC;42;17;36;Master's
65000;Man;IC;10;17;10;Bachelor's
190000;Man;IC;8;15;2;Bachelor's
120000;Man;IC;9;14;8;Bachelor's
105000;Man;IC;32;7;23;PhD
64000;Man;IC;3;22;Less than 1 year;Bachelor's
105000;Woman;IC;7;27;5;Bachelor's
60000;Man;IC;15;10;7;Less than bachelor's
80000;Man;IC;14;12;6;Bachelor's
92000;Woman;IC;10;11;4;Bachelor's
150000;Man;IC;10;14;6;Bachelor's
85000;Man;IC;7;17;3;Bachelor's
115000;Man;IC;7;26;3;Bachelor's
85000;Man;IC;14;13;5;Bachelor's
152000;Man;IC;12;18;8;Master's
200000;Woman;IC;15;14;5;PhD
131000;Man;IC;20;9;9;Bachelor's
100000;Man;IC;8;24;6;Master's
95000;Man;IC;9;32;9;Bachelor's
112000;Man;IC;10;8;10;Less than bachelor's
100000;Man;IC;9;18;5;Bachelor's
115000;Man;IC;9;15;2;Bachelor's
118000;Man;IC;20;15;11;Bachelor's
20000;Man;IC;14;12;5;Master's
75000;Man;IC;5;18;2;Bachelor's
80000;Woman;Manager;4;20;2;Master's
180000;Man;IC;16;12;11;Bachelor's
90000;Man;IC;7;16;3;Bachelor's
165000;Man;IC;9;16;6;Bachelor's
102700;Man;IC;10;19;8;Less than bachelor's
120000;Man;IC;11;11;7;Less than bachelor's
135000;Man;Manager;41;22;41;Bachelor's
150000;Man;IC;43;17;35;Bachelor's
110000;Man;IC;34;Younger than 5 years;5;Professional
190000;Man;Manager;30;13;25;Less than bachelor's
120000;Man;IC;32;19;32;Bachelor's
45000;Man;IC;1;21;1;Less than bachelor's
180000;Man;IC;5;25;5;Master's
125000;Man;IC;13;17;13;PhD
115000;Woman;IC;4;29;3;Master's
95000;Man;IC;14;10;14;Bachelor's
160000;Man;IC;3;32;3;Bachelor's
175000;Man;Manager;30;12;20;Master's
170000;Man;Manager;35;19;30;Master's
78000;Man;IC;10;18;5;Bachelor's
120000;Man;Manager;18;18;15;Bachelor's
200000;Man;IC;9;16;4;Bachelor's
130000;Man;IC;24;10;13;Less than bachelor's
90000;Man;IC;8;10;5;Bachelor's
58000;Man;IC;7;13;6;Bachelor's
158000;Man;IC;10;24;7;Bachelor's
160000;Man;IC;4;12;2;Less than bachelor's
60500;Man;IC;2;15;1;Less than bachelor's
80000;Man;IC;4;25;3;Bachelor's
155000;Man;IC;18;16;11;Bachelor's
91500;Man;IC;4;17;4;Master's
120000;Man;IC;19;12;15;Master's
125000;Woman;IC;6;10;2;Bachelor's
132500;Man;IC;30;7;14;Master's
148000;Man;IC;18;10;4;Master's
195000;Man;IC;20;12;16;Master's
180000;Man;IC;25;7;16;Bachelor's
150000;Man;Manager;10;19;9;Bachelor's
100000;Man;IC;36;14;23;Master's
140000;Man;IC;40;24;36;Bachelor's
96250;Man;Manager;7;17;3;Bachelor's
75000;Man;Manager;4;22;4;Less than bachelor's
90000;Man;IC;10;20;7;Bachelor's
165000;Man;IC;20;19;16;Bachelor's
130000;Woman;IC;11;20;10;Bachelor's
110000;Man;IC;6;19;4;Master's
238000;Man;IC;10;14;5;Master's
60000;Man;IC;9;17;5;Bachelor's
135000;Man;IC;18;12;8;Bachelor's
80000;Woman;IC;14;21;14;Bachelor's
93500;Man;IC;7;17;3;Bachelor's
77000;Man;IC;9;14;1;Bachelor's
63000;Man;IC;9;14;5;Bachelor's
266000;Man;IC;9;7;9;Bachelor's
1000000;Man;IC;20;15;8;Less than bachelor's
72000;Man;IC;32;13;Less than 1 year;Bachelor's
155000;Man;IC;25;9;15;Bachelor's
80000;Man;IC;10;15;4;Bachelor's
280000;Man;Manager;15;10;11;Bachelor's
150000;Man;IC;23;18;20;Master's
90000;Man;IC;9;18;5;Bachelor's
80000;Man;IC;5;18;Less than 1 year;Bachelor's
156000;Man;IC;12;13;5;Bachelor's
105000;Man;IC;43;11;37;Master's
89000;Man;IC;14;16;13;Bachelor's
127000;Man;IC;10;13;5;Bachelor's
54248;Man;IC;14;12;7;Less than bachelor's
128000;Man;IC;13;16;8;Master's
102000;Man;IC;13;18;9;Master's
88000;Man;IC;7;17;2;Bachelor's
125000;Man;IC;5;17;2;Bachelor's
140000;Man;IC;10;13;5;Bachelor's
